gsc_reason,url,last_crawled,http_status,final_url,content_type,canonical,robots_signal,in_sitemap,internal_referrer_count,source_reference,classification,recommended_action,confidence
Crawled - currently not indexed,https://www.poshaktaranom.ir/fonts/Vazirmatn-Bold.woff2,2026-08-24-export,200,https://www.poshaktaranom.ir/fonts/Vazirmatn-Bold.woff2,font/woff2,,,no,1,apps/web/src/app/layout.tsx preload,KEEP_AS_IS,KEEP_AS_IS_RESOURCE do not sitemap/index,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785660477650-5136facc592ea.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,home HTML (shared media),next.config.ts remotePatterns poshaktaranom.com/media,KEEP_AS_IS,KEEP_AS_IS_RESOURCE shared media origin intentional,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785661993661-df011b0d16fd5.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,home HTML,next.config.ts remotePatterns,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785661680882-0f1c5cc19bd52.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,home HTML,next.config.ts remotePatterns,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/manifest.json,2026-08-24-export,200,https://www.poshaktaranom.ir/manifest.json,application/json,,,no,1,apps/web/src/app/layout.tsx rel=manifest,KEEP_AS_IS,KEEP_AS_IS_RESOURCE do not sitemap/index,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785326795221-b16555e02a001.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,product cards,next.config.ts remotePatterns,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/fonts/Vazirmatn-Regular.woff2,2026-08-24-export,200,https://www.poshaktaranom.ir/fonts/Vazirmatn-Regular.woff2,font/woff2,,,no,1,apps/web/src/app/layout.tsx preload,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785661253126-5646a837787c1.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,home HTML,next.config.ts remotePatterns,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://www.poshaktaranom.ir/_next/image?url=https://poshaktaranom.com/media/products/1785659290880-f5a7185ba2c45.jpg&w=1920&q=75,2026-08-24-export,200,same,image/jpeg,,,no,home HTML,next.config.ts remotePatterns,KEEP_AS_IS,KEEP_AS_IS_RESOURCE,high
Crawled - currently not indexed,https://poshaktaranom.ir/api/shop/product/catalog/,2026-08-24-export,404,https://www.poshaktaranom.ir/api/shop/product/catalog/,application/json,,x-robots-tag noindex nofollow,no,0,legacy WP Woo REST; nginx /api/ proxy + robots Disallow /api/,KEEP_AS_IS,leave JSON 404; do not redirect to HTML,high
